area_type,availability,location,size,total_sqft,bath,balcony,price,ready_to_move,bedrooms
Super built-up  Area,Ready To Move,electronic city,3 BHK,1025.0,2,1,4700000.0,1,3
Super built-up  Area,19-Dec,yelahanka,4 BHK,2475.0,4,0,18600000.0,0,4
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,1075.0,2,1,3500000.0,1,3
Super built-up  Area,Ready To Move,hebbal,3 BHK,1760.0,2,2,12300000.0,1,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,1693.0,3,3,5739000.0,1,3
Super built-up  Area,21-Dec,kanakpura road,2 BHK,700.0,2,1,3600000.0,0,2
Super built-up  Area,Ready To Move,electronics city phase 1,2 BHK,1070.0,2,1,4550000.0,1,2
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,1724.0,3,2,12500000.0,1,3
Super built-up  Area,Ready To Move,chikkalasandra,3 BHK,1290.0,2,2,5612000.0,1,3
Built-up  Area,Ready To Move,uttarahalli,2 BHK,1143.0,2,2,4500000.0,1,2
Super built-up  Area,19-Dec,sarjapur  road,3 BHK,1254.0,3,2,3800000.0,0,3
Super built-up  Area,Ready To Move,ganga nagar,1 BHK,600.0,1,0,3800000.0,1,1
Plot  Area,Ready To Move,yelahanka,1 BHK,660.0,1,0,4800000.0,1,1
Super built-up  Area,19-Sep,kanakpura road,2 BHK,1330.74,2,2,9179000.0,0,2
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,970.0,2,0,3300000.0,1,2
Super built-up  Area,20-Sep,whitefield,2 BHK,1459.0,2,1,9482000.0,0,2
Plot  Area,Ready To Move,kr puram,2 BHK,800.0,1,1,13000000.0,1,2
Built-up  Area,Ready To Move,himagiri meadows,2 BHK,869.0,2,1,3600000.0,1,2
Super built-up  Area,Ready To Move,adarsh nagar,2 BHK,1270.0,2,1,5000000.0,1,2
Super built-up  Area,18-Mar,bhoganhalli,3 BHK,1670.0,3,1,9900000.0,0,3
Built-up  Area,Ready To Move,whitefield,3 BHK,2010.0,3,2,9100000.0,1,3
Super built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,1185.0,2,2,7500000.0,1,2
Super built-up  Area,Ready To Move,yelahanka,3 BHK,1600.0,2,3,7500000.0,1,3
Super built-up  Area,Ready To Move,begur road,2 BHK,1200.0,2,2,4400000.0,1,2
Super built-up  Area,Ready To Move,ramakrishnappa layout,2 BHK,1500.0,2,2,18500000.0,1,2
Super built-up  Area,Ready To Move,govindaraja nagar ward,2 BHK,840.0,2,2,4500000.0,1,2
Plot  Area,Ready To Move,tharabanahalli,3 BHK,4395.0,3,2,24000000.0,1,3
Super built-up  Area,Ready To Move,ganga nagar,2 BHK,845.0,2,1,5500000.0,1,2
Plot  Area,Ready To Move,whitefield,4 BHK,5700.0,5,3,65000000.0,1,4
Built-up  Area,Ready To Move,varthur,2 BHK,1160.0,2,2,4400000.0,1,2
Built-up  Area,Ready To Move,bommanahalli,8 BHK,3000.0,8,0,14000000.0,1,8
Super built-up  Area,Ready To Move,doddathoguru,2 BHK,1100.0,2,1,6200000.0,1,2
Super built-up  Area,18-Apr,gunjur,2 BHK,1140.0,2,3,4300000.0,0,2
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1220.0,2,1,5700000.0,1,2
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,1005.0,2,1,3668000.0,1,2
Super built-up  Area,20-Aug,begur road,2 BHK,1358.0,2,1,8058000.0,0,2
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,1569.0,3,1,10100000.0,1,3
Super built-up  Area,18-Apr,haralur road,2 BHK,1240.0,2,1,7000000.0,0,2
Super built-up  Area,Ready To Move,hennur road,3 BHK,2089.0,3,2,14000000.0,1,3
Super built-up  Area,Ready To Move,kothannur,2 BHK,1206.0,2,1,4823000.0,1,2
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,1150.0,2,3,4000000.0,1,2
Built-up  Area,Ready To Move,cholanayakanahalli,3 BHK,2511.0,3,3,20500000.0,1,3
Built-up  Area,Ready To Move,isro layout,6 BHK,4400.0,6,3,25000000.0,1,6
Super built-up  Area,Ready To Move,kodanda reddy layout,3 BHK,1660.0,2,2,10500000.0,1,3
Super built-up  Area,19-Mar,yelahanka,2 BHK,1326.0,2,2,7800000.0,0,2
Super built-up  Area,Ready To Move,garudachar palya,3 BHK,1325.0,2,2,6080000.0,1,3
Super built-up  Area,Ready To Move,epip zone,3 BHK,1499.0,5,2,10200000.0,1,3
Built-up  Area,Ready To Move,hegde nagar,6 BHK,3000.0,7,2,21000000.0,1,6
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,1665.0,3,2,8800000.0,1,3
Super built-up  Area,17-Sep,dasanapura,2 BHK,708.0,2,2,3700000.0,0,2
Super built-up  Area,Ready To Move,kasavanhalli,2 BHK,1060.0,2,2,5806000.0,1,2
Built-up  Area,Ready To Move,sanjay nagar,2 BHK,1000.0,2,2,7000000.0,1,2
Super built-up  Area,18-Dec,electronic city,2 BHK,1000.0,2,1,2888000.0,0,2
Super built-up  Area,Ready To Move,mysore highway,3 BHK,1450.0,2,2,7000000.0,1,3
Plot  Area,Ready To Move,isro layout,4 BHK,1200.0,4,2,15500000.0,1,4
Super built-up  Area,17-Aug,thanisandra,2 BHK,1296.0,2,3,8000000.0,0,2
Super built-up  Area,Ready To Move,domlur,3 BHK,1540.0,3,2,9000000.0,1,3
Plot  Area,Ready To Move,kengeri,4 BHK,2894.0,4,1,24500000.0,1,4
Super built-up  Area,Ready To Move,sarjapura - attibele road,3 BHK,1330.0,2,1,4800000.0,1,3
Built-up  Area,Ready To Move,devasthanagalu,2 BHK,1200.0,2,1,6500000.0,1,2
Built-up  Area,Ready To Move,t dasarahalli,3 BHK,1200.0,3,1,9000000.0,1,3
Super built-up  Area,Ready To Move,yeshwanthpur,3 BHK,2502.0,3,3,13800000.0,1,3
Built-up  Area,Ready To Move,chandapura,2 BHK,650.0,1,1,1700000.0,1,2
Plot  Area,Ready To Move,kothanur,3 BHK,2400.0,2,1,15000000.0,1,3
Super built-up  Area,Ready To Move,green view layout,2 BHK,1007.0,2,2,4300000.0,1,2
Super built-up  Area,Ready To Move,shantiniketan layout,2 BHK,1200.0,2,2,5000000.0,1,2
Super built-up  Area,Ready To Move,peenya,2 BHK,966.0,2,2,4990000.0,1,2
Built-up  Area,Ready To Move,nagarbhavi,3 BHK,1630.0,2,1,9800000.0,1,3
Built-up  Area,Ready To Move,rajaji nagar,3 BHK,1640.0,3,2,22900000.0,1,3
Built-up  Area,Ready To Move,jalahalli west,2 BHK,782.0,2,2,5568000.0,1,2
Super built-up  Area,19-Apr,devanahalli,2 BHK,1260.0,2,2,6678000.0,0,2
Super built-up  Area,Ready To Move,lakshmiamma garden,3 BHK,1800.0,3,3,12000000.0,1,3
Super built-up  Area,Ready To Move,byatarayanapura,3 BHK,1413.0,2,2,7500000.0,1,3
Super built-up  Area,Ready To Move,whitefield,2 BHK,1116.0,2,1,5191000.0,1,2
Super built-up  Area,Ready To Move,electronic city,3 BHK,1530.0,2,1,4590000.0,1,3
Built-up  Area,Ready To Move,ramamurthy nagar,4 BHK,3700.0,4,1,22500000.0,1,4
Built-up  Area,Ready To Move,sarjapur  road,3 BHK,2497.0,3,2,14000000.0,1,3
Super built-up  Area,Ready To Move,kengeri,3 BHK,1540.0,2,3,6400000.0,1,3
Super built-up  Area,18-Dec,thanisandra,3 BHK,1436.0,3,1,7475000.0,0,3
Super built-up  Area,18-Jun,malleshwaram,2 BHK,1100.0,2,2,7500000.0,0,2
Super built-up  Area,Ready To Move,thanisandra,3 BHK,1427.0,3,2,12000000.0,1,3
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,2061.0,3,1,20000000.0,1,3
Super built-up  Area,18-Mar,hebbal,4 BHK,5611.5,4,0,47700000.0,0,4
Built-up  Area,Ready To Move,shampura,4 BHK,2650.0,4,2,15000000.0,1,4
Super built-up  Area,22-Dec,devanahalli,3 BHK,1282.0,2,2,6852000.0,0,3
Built-up  Area,Ready To Move,kadugodi,2 BHK,1050.0,2,1,3400000.0,1,2
Built-up  Area,Ready To Move,lb shastri nagar,3 BHK,1600.0,3,2,6500000.0,1,3
Super built-up  Area,22-Jan,vajarahalli,2 BHK,945.0,2,1,5400000.0,0,2
Super built-up  Area,Ready To Move,hormavu,2 BHK,1500.0,2,1,7800000.0,1,2
Built-up  Area,Ready To Move,peenya,3 BHK,1870.0,3,3,11000000.0,1,3
Plot  Area,Ready To Move,sarjapur,3 BHK,1600.0,3,1,7500000.0,1,3
Super built-up  Area,Ready To Move,electronic city,2 BHK,880.0,1,1,1650000.0,1,2
Plot  Area,Ready To Move,ramaswamy palya - kammanahalli main road,4 BHK,1200.0,4,0,21000000.0,1,4
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,1535.0,3,2,8300000.0,1,3
Built-up  Area,Ready To Move,kanakpura road,2 BHK,950.0,2,1,5700000.0,1,2
Super built-up  Area,18-Aug,devanahalli,2 BHK,1360.0,2,1,6500000.0,0,2
Super built-up  Area,19-Mar,8th phase jp nagar,2 BHK,1073.5,2,0,5400500.0,0,2
Super built-up  Area,18-May,bommasandra industrial area,3 BHK,1280.0,3,1,5040000.0,0,3
Super built-up  Area,19-Jan,chandra layout,3 BHK,1260.0,2,2,8505000.0,0,3
Super built-up  Area,19-Dec,yelahanka,5 BHK,3050.0,5,1,21300000.0,0,5
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,1563.05,3,1,10500000.0,1,3
Super built-up  Area,Ready To Move,isro layout,2 BHK,1000.0,2,1,6000000.0,1,2
Super built-up  Area,17-Jul,anandapura,2 BHK,1167.0,2,1,4376000.0,0,2
Super built-up  Area,Ready To Move,vishveshwarya layout,7 BHK,4000.0,7,2,22500000.0,1,7
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,890.0,2,1,3500000.0,1,2
Super built-up  Area,Ready To Move,basavanapura,3 BHK,1612.0,3,3,4674000.0,1,3
Super built-up  Area,19-Apr,mysore road,3 BHK,1710.0,4,2,9131000.0,0,3
Super built-up  Area,Ready To Move,kannamangala,2 BHK,957.0,2,1,5800000.0,1,2
Super built-up  Area,18-May,devarachikkanahalli,3 BHK,1250.0,2,3,4400000.0,0,3
Super built-up  Area,Ready To Move,hulimavu,2 BHK,1125.0,2,2,5000000.0,1,2
Super built-up  Area,18-Jul,electronic city phase ii,2 BHK,1020.0,2,1,3060000.0,0,2
Super built-up  Area,Ready To Move,kalena agrahara,2 BHK,1200.0,2,2,5000000.0,1,2
Super built-up  Area,Ready To Move,thanisandra,3 BHK,1735.0,3,3,13500000.0,1,3
Super built-up  Area,Ready To Move,thanisandra,3 BHK,2050.0,3,1,14500000.0,1,3
Plot  Area,Ready To Move,mahalakshmi layout,4 BHK,3750.0,4,0,76000000.0,1,4
Built-up  Area,Ready To Move,yarandahalli,3 BHK,1350.0,2,3,4800000.0,1,3
Super built-up  Area,18-May,hosa road,2 BHK,1063.0,2,1,3200000.0,0,2
Super built-up  Area,Ready To Move,keshava nagar,3 BHK,1904.0,3,1,15000000.0,1,3
Built-up  Area,Ready To Move,whitefield,4 BHK,4200.0,4,2,42000000.0,1,4
Super built-up  Area,Ready To Move,rmv extension,3 BHK,2000.0,3,1,17500000.0,1,3
Super built-up  Area,18-Dec,sarjapur,2 BHK,1242.5,2,0,4349000.0,0,2
Super built-up  Area,Ready To Move,tejaswini nagar,3 BHK,1425.0,2,2,7500000.0,1,3
Super built-up  Area,Ready To Move,electronic city,3 BHK,1500.0,2,1,6450000.0,1,3
Built-up  Area,Ready To Move,electronic city,2 BHK,1060.0,2,1,6000000.0,1,2
Built-up  Area,Ready To Move,jai bheema nagar,3 BHK,1470.0,2,2,7000000.0,1,3
Super built-up  Area,Ready To Move,attibele,1 BHK,450.0,1,1,1100000.0,1,1
Super built-up  Area,18-Apr,electronic city,2 BHK,1152.0,2,1,6450000.0,0,2
Super built-up  Area,Ready To Move,electronic city,3 BHK,1350.0,2,1,5600000.0,1,3
Super built-up  Area,Ready To Move,cv raman nagar,3 BHK,1550.0,3,3,6500000.0,1,3
Plot  Area,Ready To Move,chikkatirupathi,3 BHK,1500.0,3,2,10000000.0,1,3
Plot  Area,Ready To Move,nagavara,1 BHK,400.0,1,0,1400000.0,1,1
Super built-up  Area,Ready To Move,malleshwaram,1 BHK,705.0,1,2,6700000.0,1,1
Built-up  Area,Ready To Move,electronic city,2 BHK,770.0,1,1,3600000.0,1,2
Super built-up  Area,Ready To Move,hulimavu,2 BHK,1242.0,2,3,5100000.0,1,2
Super built-up  Area,Ready To Move,hebbal kempapura,3 BHK,1700.0,3,2,15500000.0,1,3
Super built-up  Area,Ready To Move,thanisandra,3 BHK,2144.0,3,2,14500000.0,1,3
Super built-up  Area,21-Jun,vijayanagar,3 BHK,1704.0,3,2,11000000.0,0,3
Super built-up  Area,Ready To Move,electronic city,2 BHK,1070.0,2,1,5200000.0,1,2
Plot  Area,Ready To Move,8th block koramangala,3 BHK,1846.0,3,2,30000000.0,1,3
Super built-up  Area,Ready To Move,jakkuru layout,2 BHK,1340.0,2,2,5570000.0,1,2
Built-up  Area,Ready To Move,electronic city,2 BHK,1025.0,2,1,4600000.0,1,2
Super built-up  Area,Ready To Move,kr puram,2 BHK,1277.5,2,0,5680000.0,1,2
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1200.0,2,2,5200000.0,1,2
Built-up  Area,18-Dec,kanakpura road,4 BHK,2250.0,4,1,11000000.0,0,4
Super built-up  Area,Ready To Move,pattandur agrahara,3 BHK,1550.0,2,3,8000000.0,1,3
Super built-up  Area,Ready To Move,marathahalli,2 BHK,1200.0,2,2,6000000.0,1,2
Super built-up  Area,Ready To Move,yelahanka,2 BHK,1327.0,2,2,9800000.0,1,2
Super built-up  Area,Ready To Move,kothanur,2 BHK,1186.0,2,2,5800000.0,1,2
Built-up  Area,Ready To Move,ms pallya,3 BHK,1783.0,3,1,11500000.0,1,3
Super built-up  Area,Ready To Move,hsr layout,3 BHK,1400.0,3,2,5600000.0,1,3
Super built-up  Area,Ready To Move,nagasandra,2 BHK,980.0,2,1,4800000.0,1,2
Super built-up  Area,Ready To Move,epip zone,2 BHK,1285.0,2,2,8200000.0,1,2
Super built-up  Area,Ready To Move,langford town,3 BHK,912.0,2,1,7000000.0,1,3
Built-up  Area,Ready To Move,whitefield,2 BHK,1225.0,2,2,4760000.0,1,2
Super built-up  Area,Ready To Move,whitefield,2 BHK,1075.0,2,1,5300000.0,1,2
Built-up  Area,Ready To Move,kadugodi,3 BHK,1260.0,2,2,5400000.0,1,3
Super built-up  Area,Ready To Move,yelahanka,3 BHK,1282.0,2,2,4870000.0,1,3
Super built-up  Area,Ready To Move,kogilu,3 BHK,1909.0,3,2,8800000.0,1,3
Super built-up  Area,Ready To Move,panathur,2 BHK,1359.0,2,1,8700000.0,1,2
Built-up  Area,Ready To Move,nagondanahalli,2 BHK,1207.0,2,2,4350000.0,1,2
Plot  Area,Ready To Move,padmanabhanagar,4 BHK,1736.0,6,0,19000000.0,1,4
Super built-up  Area,20-May,1st block jayanagar,4 BHK,2850.0,4,1,42800000.0,0,4
Super built-up  Area,Ready To Move,kammasandra,3 BHK,1595.0,3,2,6500000.0,1,3
Built-up  Area,18-Jun,"off sarjapur road,",3 BHK,1798.0,3,2,8900000.0,0,3
Super built-up  Area,Ready To Move,electronics city phase 1,3 BHK,1475.0,3,2,7829000.000000001,1,3
Super built-up  Area,Ready To Move,tala cauvery layout,3 BHK,1580.0,3,3,10000000.0,1,3
Super built-up  Area,Ready To Move,dasarahalli,2 BHK,1295.0,2,1,6500000.0,1,2
Built-up  Area,Ready To Move,magadi road,6 BHK,3600.0,6,0,14100000.0,1,6
Super built-up  Area,Ready To Move,electronic city,1 BHK,589.0,1,1,2700000.0,1,1
Super built-up  Area,Ready To Move,ngef layout,3 BHK,1415.0,3,3,7800000.0,1,3
Super built-up  Area,18-Dec,sarjapur  road,3 BHK,1787.0,3,2,9829000.0,0,3
Super built-up  Area,Ready To Move,sarjapur  road,3 BHK,1787.0,3,2,12500000.0,1,3
Super built-up  Area,Ready To Move,koramangala,3 BHK,1475.0,2,3,9000000.0,1,3
Built-up  Area,Ready To Move,"lakshminarayanapura, electronic city phase 2",4 BHK,2000.0,4,1,7550000.0,1,4
Super built-up  Area,19-Mar,sarjapur  road,2 BHK,984.0,2,1,4428000.0,0,2
Super built-up  Area,Ready To Move,muthurayya swamy layout,3 BHK,2405.0,4,2,26000000.0,1,3
Built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1080.0,2,2,7200000.0,1,2
Plot  Area,Ready To Move,shantiniketan layout,2 BHK,1500.0,2,1,11500000.0,1,2
Super built-up  Area,Ready To Move,hebbal,3 BHK,1900.0,3,2,11900000.0,1,3
Super built-up  Area,19-Aug,dommasandra,2 BHK,805.0,2,1,2214000.0,0,2
Super built-up  Area,Ready To Move,budigere,2 BHK,1153.0,2,2,5640000.0,1,2
Super built-up  Area,Ready To Move,dodda nekkundi extension,2 BHK,1148.0,2,2,6000000.0,1,2
Super built-up  Area,Ready To Move,mylasandra,2 BHK,1110.0,2,2,5500000.0,1,2
Built-up  Area,Ready To Move,electronic city,2 BHK,1100.0,2,2,4200000.0,1,2
Super built-up  Area,Ready To Move,kalyan nagar,2 BHK,1290.0,2,2,11000000.0,1,2
Super built-up  Area,Ready To Move,dr shivarama karantha nagar,3 BHK,1500.0,2,1,6500000.0,1,3
Super built-up  Area,18-Apr,bank of baroda colony,2 BHK,1080.0,2,2,3900000.0,0,2
Super built-up  Area,21-Jun,vijayanagar,3 BHK,1933.0,3,1,12900000.0,0,3
Built-up  Area,Ready To Move,ramamurthy nagar,5 BHK,3500.0,5,2,15000000.0,1,5
Built-up  Area,Ready To Move,kullappa colony,2 BHK,1060.0,2,2,6000000.0,1,2
Super built-up  Area,18-Aug,chandapura,1 BHK,645.0,1,1,1645000.0,0,1
Plot  Area,Ready To Move,mukkutam nagar,8 BHK,2600.0,8,2,18000000.0,1,8
Super built-up  Area,18-Sep,chandapura,1 BHK,645.0,1,1,1645000.0,0,1
Super built-up  Area,Ready To Move,ashwath nagar,3 BHK,1644.0,3,3,8400000.0,1,3
Super built-up  Area,Ready To Move,ncpr industrial layout,2 BHK,1285.0,2,3,7250000.0,1,2
Plot  Area,Ready To Move,electronic city,3 BHK,1200.0,3,1,9000000.0,1,3
Super built-up  Area,Ready To Move,electronic city,2 BHK,910.0,2,1,4000000.0,1,2
Super built-up  Area,Ready To Move,kothanur,3 BHK,1577.0,3,1,7000000.0,1,3
Plot  Area,17-May,meenakunte,3 BHK,4050.0,3,2,28000000.0,0,3
Super built-up  Area,Ready To Move,ombr layout,3 BHK,2420.0,3,2,18500000.0,1,3
Super built-up  Area,Ready To Move,chandapura,2 BHK,800.0,1,1,2000000.0,1,2
Built-up  Area,Ready To Move,anand nagar,2 BHK,1060.0,2,2,5500000.0,1,2
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1270.0,2,2,9300000.0,1,2
Super built-up  Area,18-Jun,shree ananth nagar layout,2 BHK,900.0,2,2,2250000.0,0,2
Built-up  Area,Ready To Move,kundalahalli colony,2 BHK,1280.0,2,1,6900000.0,1,2
Plot  Area,Ready To Move,horamavu agara,4 BHK,1200.0,2,0,9500000.0,1,4
Built-up  Area,Ready To Move,sarjapur  road,2 BHK,1025.0,2,2,3600000.0,1,2
Super built-up  Area,17-Jun,electronic city,2 BHK,1108.0,2,1,6300000.0,0,2
Super built-up  Area,Ready To Move,coffee board layout,3 BHK,3045.0,3,2,17000000.0,1,3
Plot  Area,Ready To Move,ambedkar nagar,4 BHK,2900.0,3,2,30000000.0,1,4
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,1500.0,3,2,7550000.0,1,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,1295.0,2,2,4390000.0,1,2
Super built-up  Area,Ready To Move,budigere,2 BHK,1162.0,2,1,5990000.0,1,2
Super built-up  Area,Ready To Move,sarjapur  road,2 BHK,1035.0,2,2,4920000.0,1,2
Built-up  Area,Ready To Move,attibele,4 BHK,1600.0,4,0,5280000.0,1,4
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,1464.0,3,2,4600000.0,1,3
Super built-up  Area,18-Oct,hennur road,3 BHK,1866.0,2,2,6158000.0,0,3
Super built-up  Area,Ready To Move,geleyara balaga layout,2 BHK,700.0,1,1,2600000.0,1,2
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,1804.0,3,2,12000000.0,1,3
Super built-up  Area,Ready To Move,sarjapur,2 BHK,913.0,2,1,3200000.0,1,2
Super built-up  Area,21-Dec,talaghattapura,3 BHK,1868.0,3,2,13100000.0,0,3
Built-up  Area,Ready To Move,kengeri satellite town,2 BHK,883.0,2,1,4500000.0,1,2
Plot  Area,Ready To Move,sundara nagar,2 BHK,900.0,2,1,11000000.0,1,2
Super built-up  Area,Ready To Move,kogilu,3 BHK,1664.0,2,3,7395000.0,1,3
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,2026.0,3,2,13200000.0,1,3
Super built-up  Area,Ready To Move,balagere,2 BHK,1210.0,2,1,8090000.000000001,1,2
Plot  Area,Ready To Move,meenakunte,4 BHK,4111.0,4,2,25000000.0,1,4
Super built-up  Area,Ready To Move,kadugodi,3 BHK,1762.0,3,3,9145000.0,1,3
Super built-up  Area,Ready To Move,jigani,3 BHK,1252.0,3,3,5500000.0,1,3
Built-up  Area,Ready To Move,gollarapalya hosahalli,2 BHK,861.0,2,1,3450000.0,1,2
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,1420.0,2,1,10000000.0,1,3
Built-up  Area,Ready To Move,electronics city phase 1,3 BHK,1490.0,3,1,7880000.0,1,3
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,1075.0,2,1,4600000.0,1,3
Super built-up  Area,18-Aug,old madras road,3 BHK,1425.0,2,2,9400000.0,0,3
Built-up  Area,Ready To Move,kalena agrahara,2 BHK,1200.0,2,1,4000000.0,1,2
Super built-up  Area,Ready To Move,kaggadasapura,3 BHK,1280.0,2,2,5600000.0,1,3
Super built-up  Area,Ready To Move,silver springs layout,2 BHK,1084.0,2,2,5000000.0,1,2
Super built-up  Area,18-Jul,chandapura,2 BHK,1015.0,2,2,2588000.0,0,2
Super built-up  Area,21-May,kanakpura road,2 BHK,1017.0,2,1,5125000.0,0,2
Super built-up  Area,Ready To Move,haralur road,2 BHK,1027.0,2,2,4400000.0,1,2
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,1069.0,2,2,4500000.0,1,2
Super built-up  Area,Ready To Move,hebbal,2 BHK,1349.0,2,1,9820000.0,1,2
Super built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,1005.0,2,1,5000000.0,1,2
Super built-up  Area,Ready To Move,jakkur,2 BHK,1417.0,2,3,7500000.0,1,2
Plot  Area,18-Jan,tc palaya,3 BHK,1475.0,3,1,9800000.0,0,3
Carpet  Area,Ready To Move,maruthi sevanagar,2 BHK,950.0,2,2,4700000.0,1,2
Super built-up  Area,Ready To Move,rmv 2nd stage,4 BHK,2000.0,4,0,12000000.0,1,4
Super built-up  Area,Ready To Move,sarjapur  road,4 BHK,1863.0,3,2,10400000.0,1,4
Super built-up  Area,Ready To Move,singasandra,2 BHK,1010.0,2,1,2950000.0,1,2
Super built-up  Area,Ready To Move,kalena agrahara,3 BHK,1425.0,2,1,7000000.0,1,3
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,1450.0,3,0,10000000.0,1,3
Super built-up  Area,Ready To Move,kothanur,3 BHK,1847.0,3,2,10500000.0,1,3
Super built-up  Area,Ready To Move,aecs layout,2 BHK,1100.0,2,3,4500000.0,1,2
Super built-up  Area,20-Dec,kanakpura road,1 BHK,525.0,1,1,2600000.0,0,1
Super built-up  Area,Ready To Move,mallasandra,3 BHK,1665.0,3,2,9500000.0,1,3
Super built-up  Area,Ready To Move,begur,4 BHK,1664.0,4,3,6500000.0,1,4
Super built-up  Area,Ready To Move,jp nagar,3 BHK,1850.0,3,3,15000000.0,1,3
Super built-up  Area,Ready To Move,panathur,2 BHK,1438.0,2,3,10000000.0,1,2
Super built-up  Area,Ready To Move,sunder ram shetty nagar,3 BHK,1560.0,3,3,11500000.0,1,3
Super built-up  Area,18-Apr,yelahanka,2 BHK,1350.0,2,1,5555000.0,0,2
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,1550.0,3,3,6700000.0,1,3
Super built-up  Area,18-Apr,malleshpalya,2 BHK,1140.0,2,2,4650000.0,0,2
Super built-up  Area,18-Dec,kodathi,2 BHK,850.0,2,2,2700000.0,0,2
Super built-up  Area,Ready To Move,whitefield,2 BHK,1280.0,2,2,7500000.0,1,2
Built-up  Area,Ready To Move,munnekollal,2 BHK,1170.0,2,2,5200000.0,1,2
Super built-up  Area,Ready To Move,motappa layout,2 BHK,1113.0,2,1,5100000.0,1,2
Super built-up  Area,Ready To Move,hennur road,2 BHK,1385.0,2,1,8309000.0,1,2
Super built-up  Area,18-Apr,electronic city,2 BHK,1128.0,2,1,6500000.0,0,2
Plot  Area,Ready To Move,marathahalli,2 BHK,1200.0,2,2,12800000.0,1,2
