area_type,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms,price_per_sqft
Built-up  Area,5th phase jp nagar,1700.0,2,3,10000000.0,1,3,5882.35294117647
Built-up  Area,5th phase jp nagar,600.0,1,1,3000000.0,1,1,5000.0
Super built-up  Area,5th phase jp nagar,1390.0,2,2,6500000.0,1,2,4676.258992805755
Built-up  Area,5th phase jp nagar,1256.0,2,1,6280000.0,1,2,5000.0
Super built-up  Area,5th phase jp nagar,1000.0,2,0,4800000.0,1,2,4800.0
Super built-up  Area,5th phase jp nagar,1350.0,2,1,7500000.0,1,3,5555.555555555556
Super built-up  Area,5th phase jp nagar,552.0,1,1,2350000.0,1,1,4257.246376811594
Super built-up  Area,5th phase jp nagar,1200.0,2,2,5100000.0,1,2,4250.0
Built-up  Area,5th phase jp nagar,1030.0,2,2,5700000.0,1,2,5533.980582524272
Super built-up  Area,5th phase jp nagar,1200.0,2,1,6800000.0,1,2,5666.666666666667
Built-up  Area,5th phase jp nagar,1190.0,2,2,6180000.0,1,2,5193.27731092437
Super built-up  Area,5th phase jp nagar,4000.0,5,2,17000000.0,1,5,4250.0
Super built-up  Area,5th phase jp nagar,1080.0,2,1,5300000.0,1,2,4907.407407407408
Super built-up  Area,5th phase jp nagar,1041.0,2,2,5400000.0,1,2,5187.319884726225
Super built-up  Area,5th phase jp nagar,812.0,2,1,4200000.0,1,2,5172.413793103448
Built-up  Area,5th phase jp nagar,1010.0,2,2,5700000.0,1,2,5643.564356435643
Super built-up  Area,5th phase jp nagar,1075.0,2,2,6000000.0,1,2,5581.395348837209
Super built-up  Area,6th phase jp nagar,1192.0,2,2,7400000.0,1,2,6208.053691275168
Super built-up  Area,6th phase jp nagar,1180.0,2,3,8000000.0,1,2,6779.661016949152
Built-up  Area,6th phase jp nagar,1140.0,2,2,6500000.0,1,2,5701.754385964912
Super built-up  Area,6th phase jp nagar,1213.0,2,1,6300000.0,1,2,5193.734542456719
Super built-up  Area,6th phase jp nagar,1170.0,2,2,12000000.0,1,2,10256.410256410256
Built-up  Area,6th phase jp nagar,1216.0,2,2,6000000.0,1,2,4934.210526315789
Super built-up  Area,6th phase jp nagar,2003.0,3,3,20000000.0,1,3,9985.022466300548
Super built-up  Area,6th phase jp nagar,1810.0,3,3,13100000.0,1,3,7237.5690607734805
Super built-up  Area,6th phase jp nagar,1515.0,2,2,13500000.0,1,3,8910.89108910891
Super built-up  Area,6th phase jp nagar,1192.0,2,3,7500000.0,1,2,6291.946308724832
Super built-up  Area,6th phase jp nagar,1280.0,2,1,8800000.0,1,2,6875.0
Built-up  Area,7th phase jp nagar,1080.0,2,2,7200000.0,1,2,6666.666666666667
Super built-up  Area,7th phase jp nagar,1270.0,2,2,9300000.0,1,2,7322.834645669292
Built-up  Area,7th phase jp nagar,1420.0,2,1,10000000.0,1,3,7042.2535211267605
Built-up  Area,7th phase jp nagar,1850.0,3,1,15000000.0,1,3,8108.108108108108
Built-up  Area,7th phase jp nagar,1245.0,2,1,9400000.0,1,2,7550.2008032128515
Super built-up  Area,7th phase jp nagar,1175.0,2,1,8200000.0,1,2,6978.723404255319
Super built-up  Area,7th phase jp nagar,1400.0,2,1,9500000.0,1,3,6785.714285714285
Super built-up  Area,7th phase jp nagar,2225.0,3,1,16000000.0,0,3,7191.011235955056
Built-up  Area,7th phase jp nagar,1050.0,2,1,7100000.0,1,2,6761.9047619047615
Super built-up  Area,7th phase jp nagar,1100.0,2,0,4600000.0,1,2,4181.818181818182
Built-up  Area,7th phase jp nagar,918.0,2,1,5049000.0,1,2,5500.0
Super built-up  Area,7th phase jp nagar,1450.0,2,1,10000000.0,1,3,6896.551724137931
Super built-up  Area,7th phase jp nagar,1190.0,2,1,4998000.0,1,2,4200.0
Super built-up  Area,7th phase jp nagar,1420.0,2,2,9600000.0,1,3,6760.56338028169
Super built-up  Area,7th phase jp nagar,1680.0,3,2,12000000.0,1,3,7142.857142857143
Super built-up  Area,7th phase jp nagar,980.0,2,2,6900000.0,1,2,7040.816326530612
Super built-up  Area,7th phase jp nagar,1180.0,2,2,7200000.0,1,2,6101.6949152542375
Built-up  Area,7th phase jp nagar,1400.0,3,1,11500000.0,1,3,8214.285714285714
Super built-up  Area,7th phase jp nagar,1270.0,2,1,8300000.0,1,2,6535.433070866142
Super built-up  Area,7th phase jp nagar,2503.0,4,0,18800000.0,0,4,7510.986815821015
Super built-up  Area,7th phase jp nagar,2200.0,3,2,19000000.0,1,3,8636.363636363636
Super built-up  Area,7th phase jp nagar,1575.0,2,2,11000000.0,1,3,6984.126984126984
Super built-up  Area,7th phase jp nagar,1850.0,3,2,14000000.0,1,3,7567.5675675675675
Built-up  Area,7th phase jp nagar,1575.0,2,2,12000000.0,1,3,7619.047619047619
Super built-up  Area,7th phase jp nagar,1850.0,3,2,15000000.0,1,3,8108.108108108108
Super built-up  Area,7th phase jp nagar,1680.0,3,2,12000000.0,1,3,7142.857142857143
Super built-up  Area,7th phase jp nagar,1175.0,2,2,8250000.0,1,2,7021.276595744681
Super built-up  Area,7th phase jp nagar,1215.0,2,2,9000000.0,1,2,7407.407407407408
Super built-up  Area,7th phase jp nagar,1050.0,2,1,7500000.0,1,2,7142.857142857143
Super built-up  Area,7th phase jp nagar,1300.0,3,2,8913000.0,1,3,6856.153846153846
Super built-up  Area,7th phase jp nagar,1130.0,2,2,7300000.0,1,2,6460.1769911504425
Super built-up  Area,7th phase jp nagar,1450.0,3,2,10000000.0,1,3,6896.551724137931
Super built-up  Area,7th phase jp nagar,1050.0,2,1,5000000.0,1,2,4761.9047619047615
Super built-up  Area,7th phase jp nagar,1275.0,2,1,8700000.0,1,2,6823.529411764706
Super built-up  Area,7th phase jp nagar,1650.0,3,2,11000000.0,1,3,6666.666666666667
Built-up  Area,7th phase jp nagar,850.0,2,2,4200000.0,1,2,4941.176470588235
Built-up  Area,7th phase jp nagar,1680.0,3,2,11700000.0,1,3,6964.285714285715
Super built-up  Area,7th phase jp nagar,1850.0,3,1,15000000.0,1,3,8108.108108108108
Super built-up  Area,7th phase jp nagar,1236.0,2,2,6133000.0,1,2,4961.974110032363
Super built-up  Area,7th phase jp nagar,1000.0,2,2,5300000.0,1,2,5300.0
Super built-up  Area,7th phase jp nagar,1680.0,3,2,12500000.0,1,3,7440.476190476191
Super built-up  Area,7th phase jp nagar,1675.0,2,2,13500000.0,1,3,8059.701492537313
Super built-up  Area,7th phase jp nagar,1187.0,2,1,5900000.0,0,2,4970.513900589722
Super built-up  Area,7th phase jp nagar,1850.0,3,2,15500000.0,1,3,8378.378378378378
Built-up  Area,7th phase jp nagar,1000.0,2,1,6100000.0,1,2,6100.0
Super built-up  Area,7th phase jp nagar,1460.0,2,2,10000000.0,1,3,6849.315068493151
Super built-up  Area,7th phase jp nagar,1650.0,3,3,11000000.0,1,3,6666.666666666667
Super built-up  Area,7th phase jp nagar,1200.0,2,2,6250000.0,1,2,5208.333333333333
Super built-up  Area,7th phase jp nagar,1000.0,2,1,7065000.000000001,1,2,7065.000000000001
Super built-up  Area,7th phase jp nagar,1080.0,2,2,7500000.0,1,2,6944.444444444444
Super built-up  Area,7th phase jp nagar,1680.0,3,3,12500000.0,1,3,7440.476190476191
Super built-up  Area,7th phase jp nagar,1460.0,2,1,9700000.0,1,3,6643.835616438356
Built-up  Area,7th phase jp nagar,1120.0,2,2,6500000.0,1,2,5803.571428571428
Super built-up  Area,7th phase jp nagar,1100.0,3,1,6000000.0,1,2,5454.545454545455
Super built-up  Area,7th phase jp nagar,1790.0,3,3,12000000.0,1,3,6703.91061452514
Super built-up  Area,7th phase jp nagar,1680.0,3,2,11700000.0,1,3,6964.285714285715
Super built-up  Area,7th phase jp nagar,1050.0,2,1,7700000.0,1,2,7333.333333333333
Super built-up  Area,7th phase jp nagar,1050.0,2,1,7500000.0,1,2,7142.857142857143
Super built-up  Area,7th phase jp nagar,1040.0,2,1,7500000.0,1,2,7211.538461538462
Super built-up  Area,7th phase jp nagar,1400.0,2,1,9500000.0,1,3,6785.714285714285
Super built-up  Area,7th phase jp nagar,1800.0,3,2,13000000.0,1,3,7222.222222222223
Super built-up  Area,7th phase jp nagar,1050.0,2,0,6800000.0,1,2,6476.190476190476
Built-up  Area,7th phase jp nagar,1000.0,2,2,6000000.0,1,2,6000.0
Super built-up  Area,7th phase jp nagar,1680.0,3,2,12500000.0,1,3,7440.476190476191
Super built-up  Area,7th phase jp nagar,1050.0,2,1,7747000.0,1,2,7378.0952380952385
Super built-up  Area,7th phase jp nagar,1270.0,2,1,8000000.0,1,2,6299.212598425197
Super built-up  Area,7th phase jp nagar,1680.0,3,2,12200000.0,1,3,7261.9047619047615
Super built-up  Area,7th phase jp nagar,1130.0,2,2,8500000.0,1,2,7522.123893805309
Super built-up  Area,7th phase jp nagar,1680.0,3,3,13000000.0,1,3,7738.0952380952385
Built-up  Area,7th phase jp nagar,980.0,2,1,7744000.0,1,2,7902.040816326531
Super built-up  Area,7th phase jp nagar,1680.0,3,2,11200000.0,1,3,6666.666666666667
Super built-up  Area,7th phase jp nagar,2095.0,3,2,15000000.0,1,3,7159.904534606205
Super built-up  Area,7th phase jp nagar,1976.0,3,1,14500000.0,0,3,7338.056680161943
Super built-up  Area,7th phase jp nagar,1600.0,2,2,11000000.0,1,3,6875.0
Super built-up  Area,7th phase jp nagar,1765.0,3,2,11800000.0,1,3,6685.552407932011
Built-up  Area,7th phase jp nagar,1275.0,2,2,8800000.0,1,3,6901.9607843137255
Super built-up  Area,7th phase jp nagar,1450.0,2,1,10200000.0,1,3,7034.482758620689
Super built-up  Area,7th phase jp nagar,1575.0,2,2,11000000.0,1,3,6984.126984126984
Super built-up  Area,7th phase jp nagar,750.0,1,2,4700000.0,1,1,6266.666666666667
Super built-up  Area,7th phase jp nagar,990.0,2,2,5000000.0,1,2,5050.50505050505
Plot  Area,7th phase jp nagar,1000.0,1,1,6000000.0,1,1,6000.0
Built-up  Area,7th phase jp nagar,1080.0,2,1,5100000.0,1,2,4722.222222222223
Super built-up  Area,7th phase jp nagar,1430.0,2,1,10200000.0,1,3,7132.867132867133
Super built-up  Area,7th phase jp nagar,1128.0,2,1,6000000.0,1,2,5319.148936170212
Built-up  Area,7th phase jp nagar,1140.0,2,1,5700000.0,1,2,5000.0
Super built-up  Area,7th phase jp nagar,1420.0,3,2,9000000.0,1,3,6338.028169014085
Super built-up  Area,7th phase jp nagar,1530.0,2,1,10800000.0,1,2,7058.823529411765
Super built-up  Area,8th phase jp nagar,1073.5,2,0,5400500.0,0,2,5030.740568234746
Super built-up  Area,8th phase jp nagar,451.0,1,0,2990000.0,0,1,6629.711751662971
Super built-up  Area,8th phase jp nagar,1062.0,2,1,4247000.0,1,2,3999.0583804143125
Super built-up  Area,8th phase jp nagar,1455.0,3,2,7331000.0,0,3,5038.487972508591
Super built-up  Area,8th phase jp nagar,871.0,2,2,5500000.0,1,2,6314.580941446613
Super built-up  Area,8th phase jp nagar,1098.0,2,1,4391000.0,1,2,3999.089253187614
Super built-up  Area,8th phase jp nagar,1800.0,3,1,8000000.0,1,3,4444.444444444444
Built-up  Area,8th phase jp nagar,2700.0,4,2,13000000.0,1,4,4814.814814814815
Super built-up  Area,8th phase jp nagar,1080.0,2,2,3800000.0,0,2,3518.5185185185187
Super built-up  Area,8th phase jp nagar,1059.0,2,2,3450000.0,0,2,3257.790368271955
Super built-up  Area,8th phase jp nagar,1080.0,2,2,3500000.0,0,2,3240.740740740741
Super built-up  Area,8th phase jp nagar,1062.0,2,1,4247000.0,1,2,3999.0583804143125
Super built-up  Area,8th phase jp nagar,500.0,1,1,3100000.0,0,1,6200.0
Super built-up  Area,8th phase jp nagar,1100.0,2,2,3500000.0,0,2,3181.818181818182
Super built-up  Area,8th phase jp nagar,2100.0,4,3,9200000.0,1,4,4380.952380952381
Super built-up  Area,8th phase jp nagar,1035.0,2,1,3933000.0,1,2,3800.0
Super built-up  Area,8th phase jp nagar,909.0,2,1,4090000.0,1,2,4499.4499449945
Super built-up  Area,8th phase jp nagar,1431.5,3,0,7202000.0,0,3,5031.086273140063
Built-up  Area,8th phase jp nagar,1900.0,4,1,9000000.0,1,3,4736.8421052631575
Super built-up  Area,8th phase jp nagar,500.0,1,1,3000000.0,0,1,6000.0
Super built-up  Area,8th phase jp nagar,1125.0,2,2,3694000.0,0,2,3283.5555555555557
Super built-up  Area,8th phase jp nagar,1100.0,2,3,3500000.0,1,2,3181.818181818182
Super built-up  Area,8th phase jp nagar,1089.0,2,1,4355000.0,1,2,3999.0817263544536
Super built-up  Area,8th phase jp nagar,1504.0,2,2,8300000.0,1,3,5518.617021276596
Built-up  Area,8th phase jp nagar,2600.0,4,2,11500000.0,1,4,4423.076923076923
Super built-up  Area,8th phase jp nagar,1089.0,2,1,4355000.0,1,2,3999.0817263544536
Super built-up  Area,8th phase jp nagar,1513.0,2,3,6200000.0,1,2,4097.818902842036
Built-up  Area,8th phase jp nagar,1298.0,2,1,5900000.0,1,2,4545.454545454545
Built-up  Area,8th phase jp nagar,1006.0,2,0,4400000.0,1,2,4373.75745526839
Carpet  Area,8th phase jp nagar,500.0,1,1,3300000.0,0,1,6600.0
Super built-up  Area,8th phase jp nagar,1160.0,2,1,9500000.0,1,2,8189.6551724137935
Super built-up  Area,8th phase jp nagar,1245.0,2,1,5900000.0,0,2,4738.955823293173
Super built-up  Area,8th phase jp nagar,1510.0,2,3,8000000.0,1,2,5298.013245033113
Super built-up  Area,8th phase jp nagar,3300.0,3,2,16500000.0,1,3,5000.0
Built-up  Area,8th phase jp nagar,1730.0,5,2,7500000.0,1,5,4335.260115606937
Super built-up  Area,8th phase jp nagar,1046.0,2,1,4800000.0,0,2,4588.910133843212
Super built-up  Area,8th phase jp nagar,1408.0,3,2,8000000.0,0,3,5681.818181818182
Super built-up  Area,9th phase jp nagar,1005.0,2,1,5000000.0,1,2,4975.124378109453
Super built-up  Area,9th phase jp nagar,1100.0,2,1,6500000.0,0,2,5909.090909090909
Super built-up  Area,9th phase jp nagar,1080.0,2,2,3700000.0,0,2,3425.925925925926
Built-up  Area,9th phase jp nagar,1035.0,2,1,4500000.0,1,2,4347.826086956522
Built-up  Area,9th phase jp nagar,5000.0,4,3,29000000.0,1,4,5800.0
Built-up  Area,9th phase jp nagar,1164.0,2,1,5600000.0,1,2,4810.996563573884
Super built-up  Area,9th phase jp nagar,1005.0,2,1,4200000.0,1,2,4179.104477611941
Super built-up  Area,9th phase jp nagar,1127.0,2,1,5000000.0,0,2,4436.557231588287
Super built-up  Area,9th phase jp nagar,1005.0,2,1,4300000.0,1,2,4278.606965174129
Built-up  Area,9th phase jp nagar,835.0,2,0,3700000.0,1,2,4431.137724550898
Super built-up  Area,9th phase jp nagar,1050.0,2,2,3900000.0,0,2,3714.285714285714
Super built-up  Area,9th phase jp nagar,660.0,2,0,2700000.0,1,2,4090.909090909091
Built-up  Area,9th phase jp nagar,600.0,1,0,2000000.0,1,1,3333.3333333333335
Super built-up  Area,9th phase jp nagar,1466.0,2,2,7100000.0,0,2,4843.110504774898
Super built-up  Area,9th phase jp nagar,1079.0,2,1,6000000.0,0,2,5560.704355885079
Super built-up  Area,9th phase jp nagar,1480.0,2,1,8000000.0,0,2,5405.405405405405
Plot  Area,9th phase jp nagar,1200.0,2,0,8000000.0,1,2,6666.666666666667
Super built-up  Area,9th phase jp nagar,905.0,2,1,3200000.0,1,2,3535.9116022099447
Super built-up  Area,9th phase jp nagar,1073.0,2,1,5236000.0,0,2,4879.77632805219
Super built-up  Area,9th phase jp nagar,1719.3,2,2,8800000.0,1,3,5118.362124120282
Super built-up  Area,9th phase jp nagar,1780.0,3,2,8800000.0,0,3,4943.820224719101
Super built-up  Area,9th phase jp nagar,1522.0,3,2,9000000.0,0,3,5913.272010512484
Built-up  Area,9th phase jp nagar,890.0,2,2,4500000.0,1,2,5056.179775280899
Super built-up  Area,9th phase jp nagar,1050.0,2,2,3500000.0,0,2,3333.3333333333335
Super built-up  Area,9th phase jp nagar,1331.95,2,2,6900000.0,1,2,5180.374638687638
Super built-up  Area,abbigere,985.0,2,1,4039000.0,1,2,4100.507614213198
Built-up  Area,abbigere,2200.0,6,2,6800000.0,1,6,3090.909090909091
Super built-up  Area,abbigere,765.0,2,2,3000000.0,1,1,3921.5686274509803
Super built-up  Area,abbigere,880.0,2,1,3500000.0,0,2,3977.2727272727275
Super built-up  Area,abbigere,795.0,2,1,3254000.0,1,2,4093.0817610062895
Super built-up  Area,abbigere,1005.0,2,1,3959000.000000001,1,2,3939.3034825870654
Super built-up  Area,abbigere,734.0,1,0,1982000.0,0,1,2700.272479564033
Super built-up  Area,abbigere,1020.0,2,1,4182000.0,1,2,4100.0
Super built-up  Area,abbigere,985.0,2,1,4039000.0,1,2,4100.507614213198
Built-up  Area,abbigere,2500.0,6,0,8100000.0,1,6,3240.0
Super built-up  Area,abbigere,795.0,2,1,3254000.0,1,2,4093.0817610062895
Super built-up  Area,abbigere,1130.0,2,1,4633000.0,1,2,4100.0
Super built-up  Area,abbigere,795.0,1,1,3260000.0,1,2,4100.62893081761
Built-up  Area,abbigere,3000.0,8,0,15000000.0,1,8,5000.0
Super built-up  Area,abbigere,985.0,2,1,3892000.0,1,2,3951.269035532995
Super built-up  Area,abbigere,1000.0,2,1,4100000.0,1,2,4100.0
Super built-up  Area,abbigere,995.0,2,1,4080000.0,1,2,4100.502512562814
Super built-up  Area,abbigere,1020.0,2,1,4080000.0,1,2,4000.0
Super built-up  Area,aecs layout,1100.0,2,3,4500000.0,1,2,4090.909090909091
Super built-up  Area,aecs layout,1028.0,2,1,4200000.0,1,2,4085.603112840467
Super built-up  Area,aecs layout,1199.0,2,2,6500000.0,1,2,5421.184320266889
Super built-up  Area,aecs layout,1080.0,2,2,5500000.0,1,2,5092.592592592592
Super built-up  Area,aecs layout,1123.0,2,2,6400000.0,1,2,5699.020480854853
Super built-up  Area,aecs layout,1308.0,2,1,6000000.0,1,2,4587.155963302752
Super built-up  Area,aecs layout,1005.0,2,1,5500000.0,1,2,5472.636815920398
Super built-up  Area,akshaya nagar,1388.0,2,3,5700000.0,1,2,4106.628242074928
Super built-up  Area,akshaya nagar,1070.0,2,1,5400000.0,1,2,5046.728971962617
Built-up  Area,akshaya nagar,1662.0,3,3,8510000.0,1,3,5120.336943441636
Super built-up  Area,akshaya nagar,1897.0,3,2,12000000.0,1,3,6325.77754348972
Super built-up  Area,akshaya nagar,1410.0,2,2,7500000.0,1,3,5319.148936170212
Super built-up  Area,akshaya nagar,1360.0,2,2,8500000.0,0,3,6250.0
Super built-up  Area,akshaya nagar,1410.0,2,2,8000000.0,1,3,5673.758865248227
Built-up  Area,akshaya nagar,1662.0,3,2,8500000.0,1,3,5114.320096269555
Built-up  Area,akshaya nagar,1662.0,3,2,8550000.0,1,3,5144.404332129964
Built-up  Area,akshaya nagar,1280.0,2,1,6000000.0,1,2,4687.5
Super built-up  Area,akshaya nagar,1430.0,2,2,7500000.0,1,3,5244.755244755244
Built-up  Area,akshaya nagar,1419.0,2,3,7300000.0,1,3,5144.46793516561
Super built-up  Area,akshaya nagar,1280.0,2,1,6000000.0,1,2,4687.5
Super built-up  Area,akshaya nagar,1200.0,2,1,5000000.0,1,2,4166.666666666667
Super built-up  Area,akshaya nagar,1092.0,2,1,6000000.0,0,2,5494.505494505494
Super built-up  Area,akshaya nagar,1690.0,3,2,8500000.0,1,3,5029.585798816568
Super built-up  Area,akshaya nagar,1897.0,4,2,9300000.0,1,3,4902.477596204533
Super built-up  Area,akshaya nagar,1884.0,3,3,9800000.0,1,3,5201.698513800425
Super built-up  Area,akshaya nagar,1314.0,2,2,6880000.0,1,2,5235.920852359209
Super built-up  Area,akshaya nagar,1690.0,3,2,8500000.0,1,3,5029.585798816568
Super built-up  Area,akshaya nagar,1265.0,2,3,6700000.0,1,2,5296.442687747036
Super built-up  Area,akshaya nagar,1126.0,2,1,5500000.0,1,2,4884.547069271758
Super built-up  Area,akshaya nagar,1420.0,2,2,7500000.0,1,3,5281.69014084507
Super built-up  Area,akshaya nagar,1412.0,2,3,8800000.0,1,3,6232.294617563739
Built-up  Area,akshaya nagar,1434.0,3,3,8400000.0,1,3,5857.740585774059
Super built-up  Area,akshaya nagar,1890.0,4,2,10000000.0,1,3,5291.005291005291
Super built-up  Area,akshaya nagar,1419.0,2,3,8700000.0,1,3,6131.0782241014795
Super built-up  Area,akshaya nagar,1300.0,2,1,5400000.0,1,2,4153.846153846154
Super built-up  Area,akshaya nagar,1690.0,3,2,8500000.0,1,3,5029.585798816568
Super built-up  Area,akshaya nagar,1113.0,2,1,5200000.0,1,2,4672.057502246182
Super built-up  Area,akshaya nagar,1820.0,4,2,9500000.0,1,3,5219.780219780219
Super built-up  Area,akshaya nagar,1100.0,2,2,4800000.0,1,2,4363.636363636364
Super built-up  Area,akshaya nagar,1896.0,3,2,10200000.0,1,3,5379.7468354430375
Super built-up  Area,akshaya nagar,1300.0,2,2,6600000.0,1,2,5076.923076923077
Super built-up  Area,akshaya nagar,1225.0,2,0,6800000.0,1,2,5551.0204081632655
Super built-up  Area,akshaya nagar,1179.0,2,1,5100000.0,1,2,4325.699745547074
Super built-up  Area,akshaya nagar,1421.0,2,2,7300000.0,1,3,5137.227304714989
Super built-up  Area,akshaya nagar,1893.0,4,2,9500000.0,1,3,5018.489170628632
Built-up  Area,akshaya nagar,900.0,2,1,4500000.0,1,2,5000.0
Super built-up  Area,ambalipura,1105.0,2,1,7500000.0,1,2,6787.330316742082
Super built-up  Area,ambalipura,1800.0,3,3,11000000.0,1,3,6111.111111111111
Built-up  Area,ambalipura,1150.0,2,2,8000000.0,1,2,6956.521739130435
Super built-up  Area,ambalipura,1250.0,2,2,6625000.0,1,2,5300.0
Super built-up  Area,ambalipura,1332.0,2,1,7900000.0,1,2,5930.930930930931
Super built-up  Area,ambalipura,1730.0,3,1,12000000.0,1,3,6936.416184971098
Super built-up  Area,ambalipura,1230.0,2,2,6625000.0,1,2,5386.178861788618
Super built-up  Area,ambalipura,1351.0,2,1,7700000.0,1,2,5699.481865284974
Super built-up  Area,ambalipura,1303.0,2,2,8000000.0,1,2,6139.677666922486
Super built-up  Area,ambalipura,1607.0,2,2,11200000.0,1,3,6969.508400746733
Super built-up  Area,ambalipura,770.0,1,2,4382000.0,1,1,5690.909090909091
Super built-up  Area,ambalipura,1700.0,2,2,7600000.0,1,2,4470.588235294118
Super built-up  Area,ambalipura,1060.0,2,1,5850000.0,1,2,5518.867924528302
Built-up  Area,ambalipura,1650.0,3,3,10000000.0,1,3,6060.606060606061
Super built-up  Area,ambalipura,1607.0,2,2,11200000.0,1,3,6969.508400746733
Super built-up  Area,ambalipura,1198.0,2,2,8000000.0,1,2,6677.79632721202
Super built-up  Area,ambedkar nagar,1935.0,4,2,13000000.0,1,3,6718.3462532299745
Super built-up  Area,ambedkar nagar,1424.0,2,2,9000000.0,1,2,6320.224719101124
Super built-up  Area,ambedkar nagar,2225.0,4,2,16900000.0,1,3,7595.505617977528
Super built-up  Area,ambedkar nagar,1862.0,3,2,12000000.0,1,3,6444.68313641246
Super built-up  Area,ambedkar nagar,1850.0,4,3,13900000.0,1,3,7513.513513513513
Super built-up  Area,ambedkar nagar,1936.0,4,2,12600000.0,1,3,6508.264462809917
Super built-up  Area,ambedkar nagar,1862.0,3,2,11900000.0,1,3,6390.977443609023
Super built-up  Area,ambedkar nagar,1424.0,2,2,9000000.0,1,2,6320.224719101124
Super built-up  Area,ambedkar nagar,2150.0,4,2,12500000.0,1,3,5813.953488372093
Built-up  Area,ambedkar nagar,3530.0,4,2,29000000.0,1,4,8215.297450424929
Super built-up  Area,ambedkar nagar,1856.0,3,1,12000000.0,1,3,6465.517241379311
Super built-up  Area,ambedkar nagar,1852.0,3,2,13000000.0,1,3,7019.438444924406
Super built-up  Area,ambedkar nagar,1850.0,4,2,12000000.0,1,3,6486.486486486487
Super built-up  Area,ambedkar nagar,1367.0,2,2,8600000.0,1,2,6291.148500365764
Plot  Area,ambedkar nagar,3565.0,4,3,25500000.0,0,4,7152.875175315568
Super built-up  Area,ambedkar nagar,1409.0,2,2,9500000.0,1,2,6742.370475514549
Super built-up  Area,ambedkar nagar,1950.0,4,2,12000000.0,1,3,6153.846153846154
Super built-up  Area,ambedkar nagar,1921.0,4,3,12900000.0,1,3,6715.252472670484
Super built-up  Area,ambedkar nagar,1920.0,4,2,12100000.0,1,3,6302.083333333333
Super built-up  Area,ambedkar nagar,1935.0,4,2,12500000.0,1,3,6459.948320413437
Super built-up  Area,ambedkar nagar,1852.0,4,2,12200000.0,1,3,6587.473002159827
Super built-up  Area,ambedkar nagar,1950.0,4,2,12000000.0,1,3,6153.846153846154
Super built-up  Area,ambedkar nagar,1852.0,3,2,12500000.0,1,3,6749.460043196545
Super built-up  Area,ambedkar nagar,1850.0,4,2,12100000.0,1,3,6540.540540540541
Super built-up  Area,ambedkar nagar,1425.0,2,1,9400000.0,1,2,6596.491228070176
Built-up  Area,ambedkar nagar,2395.0,4,2,15000000.0,1,3,6263.048016701461
